timestamp_ms,pixel_height,estimated_distance_cm,confidence
1752076327390,218,42.3853,0.913702
1752076327450,217,42.5806,0.915065
1752076327510,215,42.9767,0.920249
1752076327570,220,42,0.91872
1752076327632,227,40.7048,0.934441
1752076327690,241,38.3402,0.918679
1752076327750,242,38.1818,0.906436
1752076327810,239,38.6611,0.911936
1752076327870,246,37.561,0.909145
1752076327932,255,36.2353,0.906031
1752076327990,263,35.1331,0.900282
1752076328050,273,33.8462,0.909339
1752076328110,286,32.3077,0.914074
1752076328170,294,31.4286,0.891675
1752076328230,302,30.596,0.834127
1752076328290,309,29.9029,0.763207
1752076328354,310,29.8065,0.82632
1752076328414,318,29.0566,0.859541
1752076328474,322,28.6957,0.902178
1752076328534,330,28,0.911908
1752076328594,335,27.5821,0.908138
1752076328654,337,27.4184,0.906041
1752076328714,339,27.2566,0.908795
1752076328774,343,26.9388,0.880755
1752076328837,349,26.4756,0.882847
1752076328894,352,26.25,0.904173
1752076328954,356,25.9551,0.894134
1752076329014,362,25.5249,0.902642
1752076329074,365,25.3151,0.90124
1752076329134,370,24.973,0.872177
1752076329194,379,24.3799,0.860092
1752076329257,372,24.8387,0.817639
1752076329315,390,23.6923,0.838294
1752076329374,389,23.7532,0.819592
1752076329434,72,128.333,0.716311
1752076329494,393,23.5114,0.877202
1752076329554,392,23.5714,0.854664
1752076329614,391,23.6317,0.901755
1752076329676,386,23.9378,0.847016
1752076329734,386,23.9378,0.821007
1752076329795,393,23.5114,0.858648
1752076329854,388,23.8144,0.770855
1752076329915,388,23.8144,0.904596
1752076329982,381,24.252,0.889185
1752076330040,373,24.7721,0.884021
1752076330101,369,25.0407,0.845457
1752076330161,370,24.973,0.85945
1752076330222,361,25.5956,0.866582
1752076330280,357,25.8824,0.89588
1752076330340,353,26.1756,0.895915
1752076330400,353,26.1756,0.884989
1752076330461,350,26.4,0.903152
1752076330521,344,26.8605,0.840431
1752076330581,344,26.8605,0.850642
1752076330641,340,27.1765,0.800815
1752076330701,341,27.0968,0.831726
1752076330761,344,26.8605,0.890326
1752076330821,339,27.2566,0.894089
